2023-02-03 15:01:10|5|211537690|0|DBLQ|VISURGIS|50|Pilot Vessel1|14|5|3|3|1|04-11T09:00Z|undefined|4|11|9|0|1.9|BREMERHAVEN|0
2023-02-03 15:01:16|5|211208720|8806113|DBCK|FS HEINCKE|90|Other Type - all ships of this type|13|42|5|7|0|12-02T07:00Z|undefined|12|2|7|0|4|BREMERHAVEN|0
2023-02-03 15:01:20|5|277336000|8707745|LYSA|NIDA|30|Fishing|20|42|3|11|0|09-20T16:00Z|undefined|9|20|16|0|6.3|BREMERHAVEN|0
2023-02-03 15:01:30|5|211386490|0|DBHN|NADIR|90|Other Type - all ships of this type|11|5|2|2|1|02-26T16:00Z|undefined|2|26|16|0|1.1|SURVEY OPERATION|0
2023-02-03 15:01:33|5|211494500|0|DF8048|SATURN|79|Cargo - No additional information|76|12|6|5|0|12-31T23:59Z|undefined|12|31|23|59|0||0
2023-02-03 15:01:49|5|211549830|0|DC5486|RHR1|99|Other Type - no additional information|55|8|5|12|1|10-29T11:37Z|undefined|10|29|11|37|1.2|BREMERHAVEN|0
2023-02-03 15:02:00|5|211625350|9693252|DIIH2|FAIRPLAY-82|52|Tug|13|19|8|3|1|12-31T13:40Z|undefined|12|31|13|40|6|BREMERHAVEN|0
2023-02-03 15:02:23|5|211630370|7725453|DHVE2|LEV TORNADO|99|Other Type - no additional information|24|24|5|4|1|01-15T09:00Z|undefined|1|15|9|0|3.5|BREMERHAVEN|0
2023-02-03 15:02:26|5|211220820|0|DB8903|KS 3|99|Other Type - no additional information|59|0|0|10|1|00-00T24:60Z|undefined|0|0|24|60|1.2|BHV - RSS - BHV|0
2023-02-03 15:02:49|5|218709000|9502233|DBJC|ALTE WESER|55|Law Enforcement|3|30|2|4|1|02-02T15:30Z|undefined|2|2|15|30|1.9|BREMERHAVEN|0
2023-02-03 15:02:51|5|218709000|9502233|DBJC|ALTE WESER|55|Law Enforcement|3|30|2|4|1|02-02T15:30Z|undefined|2|2|15|30|1.9|BREMERHAVEN|0
2023-02-03 15:03:15|5|211599340|0|DC4779|NORDENHAM|60|Passenger - all ships of this type|30|30|7|7|0|01-05T00:00Z|undefined|1|5|0|0|2.5|BREMERHAVEN-NORDENAM|0
2023-02-03 15:03:40|5|211540110|0|DBLS|BURKANA|50|Pilot Vessel1|14|5|3|3|1|07-18T12:30Z|undefined|7|18|12|30|2.1|BREMERHAVEN|0
2023-02-03 15:03:55|5|257183000|0|LKTQ|ULLA RINMAN|97|Other Type - Reserved for future use|12|11|7|0|1|11-06T05:00Z|undefined|11|6|5|0|2.7|BREMERHAVEN|0
2023-02-03 15:04:02|5|636093058|9476006|5LDL4|EDT AEOLUS|52|Tug|22|27|5|9|1|11-21T05:00Z|undefined|11|21|5|0|6.2|DRBRV|0
2023-02-03 15:04:06|5|211172020|0|DF4368|VISURA|55|Law Enforcement|10|6|2|3|1|03-02T23:00Z|undefined|3|2|23|0|1.4|DEBRV|0
2023-02-03 15:04:26|5|211595610|0|DC4782|BREMERHAVEN|60|Passenger - all ships of this type|30|30|7|7|0|12-31T23:20Z|undefined|12|31|23|20|2.7|BREMERHAFEN-BLEXEN|0
2023-02-03 15:04:46|5|211590050|0|DC6091|KADDY|89|Tanker - No additional information|65|15|4|5|0|00-00T24:60Z|undefined|0|0|24|60|0|BREMERHVEN|0
